gene_id	gene_name	EP1-BRN3B-RO	EP1-WT_hRO_2	EP1-WT_ROs_D45	H9-BRN3B_hRO_2	H9-BRN3B-RO	H9-CRX_hRO_2	H9-CRX_ROs_D45
MXD3	MXD3	22.000000002257995	11.000001338106006	49.999999613027995	13.999998486423994	8.000000134063999	11.999998827563994	43.00000096804002
MXRA8	MXRA8	70.999999478381	11.999999758233997	55.00000273798202	13.000000384400998	42.999998069659	13.000000239067004	56.99999863462798
MYH9	MYH9	22.00000291124197	25.999999030537992	39.99999687828796	21.999999516673988	21.000000882104995	17.999999750552	55.99999382994291
MYL6	MYL6	138.999998692001	39.99999963974899	154.99999844886997	48.999998387498984	71.00000065963101	52.99999934935901	109.99999386847088
MYL6B	MYL6B	99.99999815909202	79.99999927949798	251.99999861208795	92.99999889485298	61.000001552425005	99.00000089184502	229.0000056703791
MYO19	MYO19	45.00000106243099	28.999999638549994	66.00000398861202	22.000000990679997	32.99999896245299	16.999999848255	50.99999511524592
MYO5B	MYO5B	135.000000278309	5.000000122082	40.000000393456006	3.9999997781219983	194.00000006992994	11.000000434473005	19.999998022378968
MYO9A	MYO9A	312.99999659423503	110.00000001198998	189.00000071665	91.99999784481798	169.99999966773794	128.99999946996104	120.99999926614096
MYRF	MYRF	53.000000798798986	38.000001462586	53.99999719175597	13.999999960429996	18.999999788214996	28.000000282728003	47.999996519145945
MYT1	MYT1	18.999999737497	11.000000001198998	15.999997345247976	11.999999334365995	27.000002043027	15.999998436751993	16.999996262687937
NACC1	NACC1	81.99999947951	5.999999879116999	59.00000031671	5.000000828157002	29.000001016168998	0.9999999022969995	84.00000181748302
NAPB	NAPB	25.000000267018994	6.999998299244989	10.000002734740022	10.000000182307998	22.999999855246994	5.999999413781997	6.999995669702928
NARF	NARF	112.00000212711997	78.99999952246299	182.00000407508404	91.00000121680098	50.999996082974995	69.99999919761402	114.000000432847
NASP	NASP	165.99999816586597	132.000001351295	663.0000037972779	143.99999938242195	70.000000112686	156.00000135959806	439.00000863229116
NAV2	NAV2	110.999998160221	66.99999976422899	49.99999961302798	69.99999980215	68.99999956574099	73.00000041371102	40.99999452226092
NCK1-DT	NCK1-DT	60.99999762618301	52.999999155017996	60.99999734848997	48.00000028547599	28.999998895420994	32.999999794213004	44.99999792304597
NCOR2	NCOR2	311.99999844530396	114.99999879716498	179.00000501224605	68.000000650092	153.000000973413	74.00000031600801	206.99999803862997
NECAP2	NECAP2	190.99999552390102	77.00000000839299	158.99999954276598	65.00000044799899	109.000000236061	92.99999996885701	151.00000104509604
NECTIN2	NECTIN2	436.99999687141496	106.00000098384999	471.00000401778993	150.00000126061397	243.99999984745597	100.00000079414203	476.0000060809491
NEDD4L	NEDD4L	421.9999955476099	131.999998677481	66.99999898933396	106.00000075326001	314.9999983863389	100.00000079414204	74.99999337481887
NFIC	NFIC	107.00000556449694	17.999998300443988	21.99999898609199	10.999999758336998	35.99999424104399	11.999998827563992	26.999990528490837
NFYB	NFYB	84.999999744271	22.999999759432995	142.00000016645998	29.000000970894995	35.99999848253999	22.999999262037	112.99999879175297
NHSL1	NHSL1	65.00000185784297	78.00000110233499	181.00000555919405	86.000000388644	39.999998549572	65.99999958842601	122.00000090723502
NIFK-AS1	NIFK-AS1	24.000002118087977	29.999999395584993	36.99999781544997	25.999999294795987	24.000000402191993	24.999999066631	15.999997785184963
NINL	NINL	126.99999763295702	109.00000025495498	130.99999540066193	70.000001276156	87.00000092775899	90.99999865505703	108.99999539096791
NLGN2	NLGN2	258.999997646505	149.00000123161098	196.99999938927397	112.00000115744598	150.999999879523	144.00000102282803	250.0000053338521
NME2	NME2	309.99999342049	258.999999906694	836.00000716868	346.00000070663395	213.99999828434196	342.0000012973121	746.0000126007712
NOTCH2NLA	NOTCH2NLA	319.9999981816719	57.000000856971994	115.00000157058201	74.00000105427799	164.00000062756396	67.99999939302002	70.99999946480699
NOVA2	NOVA2	76.00000185897198	29.000000975457002	68.00000102039199	24.999999718766993	20.00000033516	16.999999848255	51.999999919931
NPAS3	NPAS3	136.99999657617101	47.000000612807995	135.99999852561598	50.000000911539985	70.000000112686	43.99999871947999	183.00000294264805
NPM1	NPM1	60.00000238623598	30.999999152619996	102.00000328817198	46.00000260742399	33.99999738864999	42.99999730797698	68.99999301902788
