.feature	.sample	counts	counts_scaled	group	sample_name	TMM	multiplier	PC1	PC2	.abundant	edgerQLT_logFC	edgerQLT_logCPM	edgerQLT_F	edgerQLT_PValue	edgerQLT_FDR	edgerLR_logFC	edgerLR_logCPM	edgerLR_LR	edgerLR_PValue	edgerLR_FDR
C19orf48P	H9-hRGC_2	12.000001130352	21.85641866407128	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	1.0541211862256226	7.993275800635415	8.939667371280109	0.010684267168043375	0.03373979105697908	1.0610802524204361	7.993275800635415	7.174712011954727	0.007393831583197564	0.02207113905432109
C1orf35	H9-hRGC_2	80.00000019746403	145.7094443948831	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	0.2860842335016605	9.569796146046626	1.0850561150255253	0.3170137512911441	0.45613489394409223	0.286108740054297	9.569796146046626	0.8605062753661561	0.3535970528105347	0.4951183936670264
C1orf43	H9-hRGC_2	46.00000066390801	83.78293152947718	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	0.5454224430331066	8.230055151470454	3.106396803852635	0.10204155704979065	0.19156638746071125	0.544676734248037	8.230055151470454	2.662983985334879	0.1027078894113571	0.19167879827936005
C1QTNF6	H9-hRGC_2	8.0000007535680009	14.570945776047521	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	2.0781090280769283	6.774046959141227	17.65807206671862	0.0010901551186195035	0.006113019356744879	2.083240044724385	6.774046959141227	16.86419444684691	4.0151913862322976e-5	2.562888118871679e-4
C21orf58	H9-hRGC_2	3.0000021171419937	5.464108007415851	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	0.6293038130202829	6.725899853531284	1.0758970638685332	0.31898387097706793	0.4567788128549899	0.6363139658343973	6.725899853531284	1.1864891159511242	0.27603888881588245	0.4140583332238237
C7orf50	H9-hRGC_2	184.99999846920207	336.9530865433193	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	1.18874145766218	10.95261535792886	20.590119555551343	5.923969088930779e-4	0.004039069833361895	1.1848408733367615	10.95261535792886	18.121290237442135	2.0727093019052476e-5	1.4377174348475705e-4
C8orf44-SGK3	H9-hRGC_2	6.000001788211996	10.928211559634327	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	1.001884737885299	6.287363371851277	2.7705771377717072	0.12049905584367392	0.21908919244304348	1.0167636075851554	6.287363371851277	2.863946422266838	0.09058500802555233	0.17392321540906047
CA14	H9-hRGC_2	21.99999840320401	40.07009420133461	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	1.732020474049596	8.830950957670034	21.448012144102172	5.009311982013684e-4	0.003578079987152632	1.744791131410778	8.830950957670034	20.07963304633096	7.428354400548367e-6	5.8644903162223946e-5
CABLES1	H9-hRGC_2	47.99999718319203	87.425661290693	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	1.197046093707947	8.627647814760534	13.97116187169453	0.002585209998296283	0.01207101944729782	1.1972531683202552	8.627647814760534	11.930930568478779	5.520959253056218e-4	0.0025807973170517335
CABP4	H9-hRGC_2	4.0000003767839996	7.285472888023759	RGC	H9-hRGC_2	0.9848438021724332	1.821368050440355	-13.167109145847515	-2.7513621376620585	TRUE	4.753758355381744	7.52974186403123	99.63036161165336	2.2714170749883163e-7	1.4345792052557787e-5	4.753330546329145	7.52974186403123	98.5572670661061	3.157600263643495e-23	2.9147079356709185e-21
