isoform_id	gene_id	gene_name	iso_value_1	iso_value_2	IF1	IF2
ENST00000430820.1	ENSG00000225235	INTS6L-AS1	0.15616	0	1	NA
ENST00000430820.1	ENSG00000225235	INTS6L-AS1	0.15616	0	1	NA
ENST00000411449.1	ENSG00000225239	RPL21P107	0.09145	0	1	NA
ENST00000411449.1	ENSG00000225239	RPL21P107	0.09145	0	1	NA
ENST00000411449.1	ENSG00000225239	RPL21P107	0.09145	0	1	NA
ENST00000457751.1	ENSG00000225253		0.093695	0	1	NA
ENST00000457751.1	ENSG00000225253		0.093695	0	1	NA
ENST00000457751.1	ENSG00000225253		0.093695	0	1	NA
ENST00000443069.2	ENSG00000225254	ARMC8P1	0.061715000000000006	0	1	NA
ENST00000443069.2	ENSG00000225254	ARMC8P1	0.061715000000000006	0	1	NA
ENST00000443069.2	ENSG00000225254	ARMC8P1	0.061715000000000006	0	1	NA
ENST00000438574.1	ENSG00000225255	PSLNR	0.062465	0	1	NA
ENST00000438574.1	ENSG00000225255	PSLNR	0.062465	0	1	NA
ENST00000438574.1	ENSG00000225255	PSLNR	0.062465	0	1	NA
ENST00000668784.1	ENSG00000225269	LINC00705	0.0922	0	0.38889999999999997	NA
ENST00000668784.1	ENSG00000225269	LINC00705	0.0922	0	0.38889999999999997	NA
ENST00000668784.1	ENSG00000225269	LINC00705	0.0922	0	0.38889999999999997	NA
ENST00000654330.1	ENSG00000225269	LINC00705	0.17442500000000002	0	0.42269999999999996	NA
ENST00000654330.1	ENSG00000225269	LINC00705	0.17442500000000002	0	0.42269999999999996	NA
ENST00000654330.1	ENSG00000225269	LINC00705	0.17442500000000002	0	0.42269999999999996	NA
ENST00000665287.1	ENSG00000225269	LINC00705	0.10592	0	0.1884	NA
ENST00000665287.1	ENSG00000225269	LINC00705	0.10592	0	0.1884	NA
ENST00000665287.1	ENSG00000225269	LINC00705	0.10592	0	0.1884	NA
ENST00000455801.1	ENSG00000225270	CICP12	0.062465	0	1	NA
ENST00000455801.1	ENSG00000225270	CICP12	0.062465	0	1	NA
ENST00000455801.1	ENSG00000225270	CICP12	0.062465	0	1	NA
ENST00000436419.1	ENSG00000225271	NOLC1P1	0.59267	0	1	NA
ENST00000436419.1	ENSG00000225271	NOLC1P1	0.59267	0	1	NA
ENST00000436419.1	ENSG00000225271	NOLC1P1	0.59267	0	1	NA
ENST00000448191.1	ENSG00000225276	MTND1P18	0.061715000000000006	0	1	NA
ENST00000448191.1	ENSG00000225276	MTND1P18	0.061715000000000006	0	1	NA
ENST00000448191.1	ENSG00000225276	MTND1P18	0.061715000000000006	0	1	NA
ENST00000442829.1	ENSG00000225284		0	0.037305	NA	1
ENST00000442829.1	ENSG00000225284		0	0.037305	NA	1
ENST00000442829.1	ENSG00000225284		0	0.037305	NA	1
ENST00000454851.1	ENSG00000225286		0.030485	0	1	NA
ENST00000454851.1	ENSG00000225286		0.030485	0	1	NA
ENST00000454851.1	ENSG00000225286		0.030485	0	1	NA
ENST00000428766.2	ENSG00000225292	LINC02935	0.307835	0	1	NA
ENST00000428766.2	ENSG00000225292	LINC02935	0.307835	0	1	NA
ENST00000428766.2	ENSG00000225292	LINC02935	0.307835	0	1	NA
ENST00000437956.1	ENSG00000225294	OSTCP2	0.12493	0	1	NA
ENST00000437956.1	ENSG00000225294	OSTCP2	0.12493	0	1	NA
ENST00000437956.1	ENSG00000225294	OSTCP2	0.12493	0	1	NA
ENST00000439033.1	ENSG00000225295	MTND4P4	0.307835	0	1	NA
ENST00000439033.1	ENSG00000225295	MTND4P4	0.307835	0	1	NA
ENST00000439033.1	ENSG00000225295	MTND4P4	0.307835	0	1	NA
ENST00000422963.1	ENSG00000225299		0.06097	0	1	NA
ENST00000422963.1	ENSG00000225299		0.06097	0	1	NA
ENST00000422963.1	ENSG00000225299		0.06097	0	1	NA
ENST00000437213.2	ENSG00000225303		0	0.861695	NA	1
ENST00000437213.2	ENSG00000225303		0	0.861695	NA	1
ENST00000437213.2	ENSG00000225303		0	0.861695	NA	1
ENST00000441309.1	ENSG00000225308	ASS1P11	0.09295	0	1	NA
ENST00000441309.1	ENSG00000225308	ASS1P11	0.09295	0	1	NA
ENST00000441309.1	ENSG00000225308	ASS1P11	0.09295	0	1	NA
ENST00000431309.1	ENSG00000225311		0.03123	0	1	NA
ENST00000431309.1	ENSG00000225311		0.03123	0	1	NA
ENST00000431309.1	ENSG00000225311		0.03123	0	1	NA
ENST00000648281.1	ENSG00000225316	TPTE2-AS1	0.062465	0	1	NA
ENST00000648281.1	ENSG00000225316	TPTE2-AS1	0.062465	0	1	NA
ENST00000648281.1	ENSG00000225316	TPTE2-AS1	0.062465	0	1	NA
ENST00000635299.1	ENSG00000225321	LINC01427	0.12418	0	0.22915	NA
ENST00000635299.1	ENSG00000225321	LINC01427	0.12418	0	0.22915	NA
ENST00000635299.1	ENSG00000225321	LINC01427	0.12418	0	0.22915	NA
ENST00000635258.1	ENSG00000225321	LINC01427	0.40078	0	0.77085	NA
ENST00000635258.1	ENSG00000225321	LINC01427	0.40078	0	0.77085	NA
ENST00000635258.1	ENSG00000225321	LINC01427	0.40078	0	0.77085	NA
ENST00000438841.1	ENSG00000225323	HBAP1	0.030485	0	1	NA
ENST00000438841.1	ENSG00000225323	HBAP1	0.030485	0	1	NA
ENST00000438841.1	ENSG00000225323	HBAP1	0.030485	0	1	NA
ENST00000448643.1	ENSG00000225325		0.061715000000000006	0	1	NA
ENST00000448643.1	ENSG00000225325		0.061715000000000006	0	1	NA
ENST00000448643.1	ENSG00000225325		0.061715000000000006	0	1	NA
ENST00000666270.1	ENSG00000225328	LINC01594	0.083285	0	0.16665	NA
ENST00000666270.1	ENSG00000225328	LINC01594	0.083285	0	0.16665	NA
ENST00000666270.1	ENSG00000225328	LINC01594	0.083285	0	0.16665	NA
ENST00000445083.2	ENSG00000225328	LINC01594	0.144255	0	0.66665	NA
ENST00000445083.2	ENSG00000225328	LINC01594	0.144255	0	0.66665	NA
ENST00000445083.2	ENSG00000225328	LINC01594	0.144255	0	0.66665	NA
ENST00000669479.1	ENSG00000225328	LINC01594	0.083285	0	0.16665	NA
ENST00000669479.1	ENSG00000225328	LINC01594	0.083285	0	0.16665	NA
