isoform_id	DTU_Stage_1_vs_Stage_2	DTU_Stage_1_vs_Stage_3	DTU_Stage_2_vs_Stage_3
ENST00000164133	FALSE	FALSE	FALSE
ENST00000164139	FALSE	FALSE	FALSE
ENST00000164227	TRUE	TRUE	TRUE
ENST00000164305	FALSE	FALSE	FALSE
ENST00000164640	FALSE	TRUE	FALSE
ENST00000165698	FALSE	FALSE	FALSE
ENST00000166139	FALSE	FALSE	TRUE
ENST00000166244	FALSE	TRUE	TRUE
ENST00000166345	FALSE	FALSE	FALSE
ENST00000166534	FALSE	FALSE	FALSE
ENST00000167106	FALSE	FALSE	FALSE
ENST00000167218	FALSE	FALSE	FALSE
ENST00000167462	FALSE	FALSE	FALSE
ENST00000168216	FALSE	FALSE	FALSE
ENST00000168869	FALSE	FALSE	FALSE
ENST00000168977	FALSE	FALSE	FALSE
ENST00000169293	FALSE	FALSE	FALSE
ENST00000169298	FALSE	TRUE	FALSE
ENST00000169551	FALSE	FALSE	FALSE
ENST00000170168	FALSE	FALSE	FALSE
ENST00000170447	FALSE	FALSE	FALSE
ENST00000170564	FALSE	FALSE	FALSE
ENST00000170630	FALSE	FALSE	FALSE
ENST00000171111	FALSE	FALSE	FALSE
ENST00000171887	FALSE	FALSE	FALSE
ENST00000172229	FALSE	FALSE	FALSE
ENST00000173229	FALSE	FALSE	FALSE
ENST00000173527	FALSE	FALSE	FALSE
ENST00000173898	FALSE	FALSE	FALSE
ENST00000174618	FALSE	FALSE	FALSE
ENST00000175091	FALSE	FALSE	FALSE
ENST00000175506	FALSE	FALSE	FALSE
ENST00000175756	FALSE	FALSE	FALSE
ENST00000176183	FALSE	FALSE	FALSE
ENST00000176643	FALSE	FALSE	FALSE
ENST00000176763	FALSE	FALSE	FALSE
ENST00000177694	FALSE	FALSE	FALSE
ENST00000177742	FALSE	FALSE	FALSE
ENST00000178638	TRUE	FALSE	TRUE
ENST00000178640	FALSE	FALSE	FALSE
ENST00000179259	FALSE	FALSE	FALSE
ENST00000180173	FALSE	FALSE	FALSE
ENST00000181796	FALSE	FALSE	FALSE
ENST00000181839	FALSE	FALSE	FALSE
ENST00000182527	FALSE	FALSE	FALSE
ENST00000183605	FALSE	FALSE	FALSE
ENST00000184266	FALSE	FALSE	FALSE
ENST00000184956	FALSE	FALSE	FALSE
ENST00000185150	FALSE	FALSE	FALSE
ENST00000186436	FALSE	FALSE	FALSE
ENST00000187762	FALSE	FALSE	FALSE
ENST00000187879	FALSE	FALSE	FALSE
ENST00000188312	FALSE	FALSE	FALSE
ENST00000188376	FALSE	FALSE	FALSE
ENST00000188790	FALSE	FALSE	FALSE
ENST00000189444	FALSE	FALSE	FALSE
ENST00000190165	FALSE	FALSE	FALSE
ENST00000190611	FALSE	FALSE	FALSE
ENST00000191018	FALSE	FALSE	FALSE
ENST00000191063	FALSE	FALSE	FALSE
ENST00000192788	FALSE	FALSE	FALSE
ENST00000193322	FALSE	FALSE	TRUE
ENST00000193391	FALSE	FALSE	FALSE
ENST00000193403	FALSE	FALSE	FALSE
ENST00000194118	FALSE	FALSE	FALSE
ENST00000194152	FALSE	FALSE	FALSE
ENST00000194155	FALSE	FALSE	FALSE
ENST00000194214	FALSE	FALSE	FALSE
ENST00000194530	FALSE	FALSE	FALSE
ENST00000194672	FALSE	FALSE	FALSE
ENST00000195173	FALSE	FALSE	FALSE
ENST00000195649	FALSE	FALSE	FALSE
ENST00000196061	FALSE	FALSE	TRUE
ENST00000196169	FALSE	FALSE	FALSE
ENST00000196371	FALSE	FALSE	FALSE
ENST00000196482	FALSE	FALSE	FALSE
ENST00000196489	FALSE	FALSE	FALSE
ENST00000196551	FALSE	FALSE	FALSE
ENST00000197268	FALSE	FALSE	FALSE
ENST00000198536	FALSE	FALSE	FALSE
ENST00000198767	FALSE	FALSE	FALSE
ENST00000198939	FALSE	FALSE	FALSE
ENST00000199320	FALSE	TRUE	FALSE
ENST00000199389	FALSE	FALSE	FALSE
ENST00000199448	FALSE	FALSE	FALSE
ENST00000199706	FALSE	FALSE	FALSE
ENST00000199708	FALSE	FALSE	FALSE
ENST00000199814	FALSE	FALSE	FALSE
ENST00000199936	FALSE	FALSE	FALSE
ENST00000199940	FALSE	FALSE	FALSE
ENST00000200135	FALSE	FALSE	FALSE
ENST00000200181	FALSE	TRUE	FALSE
ENST00000200453	FALSE	FALSE	FALSE
