"transcript_id","biotype","gene_id","gene_name"
"ENST00000318529","protein_coding","ENSG00000147394","ZNF185"
"ENST00000319165","protein_coding","ENSG00000159398","CES5A"
"ENST00000319242","protein_coding","ENSG00000125861","GFRA4"
"ENST00000319423","protein_coding","ENSG00000182083","OR6B2"
"ENST00000319669","protein_coding","ENSG00000166069","TMCO5A"
"ENST00000319760","protein_coding","ENSG00000221840","OR4A5"
"ENST00000319813","protein_coding","ENSG00000176540","OR4C5"
"ENST00000319856","protein_coding","ENSG00000176547","OR4C3"
"ENST00000320002","protein_coding","ENSG00000177476","OR2G3"
"ENST00000320048","protein_coding","ENSG00000176567","OR4X1"
"ENST00000320065","protein_coding","ENSG00000177489","OR2G2"
"ENST00000320362","protein_coding","ENSG00000125454","SLC25A19"
"ENST00000320493","protein_coding","ENSG00000244414","CFHR1"
"ENST00000320704","protein_coding","ENSG00000181803","OR6S1"
"ENST00000321339","protein_coding","ENSG00000181867","FTMT"
"ENST00000321522","protein_coding","ENSG00000176787","OR52E2"
"ENST00000321801","protein_coding","ENSG00000152430","BOLL"
"ENST00000321935","protein_coding","ENSG00000181036","FCRL6"
"ENST00000322107","protein_coding","ENSG00000176231","OR10H4"
"ENST00000322343","protein_coding","ENSG00000143452","HORMAD1"
"ENST00000322653","protein_coding","ENSG00000181616","OR52H1"
"ENST00000322941","protein_coding","ENSG00000177374","HIC1"
"ENST00000323110","protein_coding","ENSG00000179142","CYP11B2"
"ENST00000323404","protein_coding","ENSG00000180090","OR3A1"
"ENST00000324106","protein_coding","ENSG00000178562","CD28"
"ENST00000324342","protein_coding","ENSG00000133135","RNF128"
"ENST00000324384","protein_coding","ENSG00000180083","WFDC11"
"ENST00000324436","protein_coding","ENSG00000181786","ACTL9"
"ENST00000324545","protein_coding","ENSG00000124486","USP9X"
"ENST00000324616","protein_coding","ENSG00000180116","C12orf40"
"ENST00000324852","protein_coding","ENSG00000162897","FCAMR"
"ENST00000325103","protein_coding","ENSG00000107521","HPS1"
"ENST00000325250","protein_coding","ENSG00000176774","MAGEB18"
"ENST00000325674","protein_coding","ENSG00000153113","CAST"
"ENST00000325995","protein_coding","ENSG00000175946","KLHL38"
"ENST00000326016","protein_coding","ENSG00000136002","ARHGEF4"
"ENST00000326192","protein_coding","ENSG00000197658","SLC22A24"
"ENST00000326258","protein_coding","ENSG00000179919","OR10A7"
"ENST00000326321","protein_coding","ENSG00000240403","KIR3DL2"
"ENST00000326441","protein_coding","ENSG00000198300","PEG3"
"ENST00000326575","protein_coding","ENSG00000119537","KDSR"
"ENST00000326652","protein_coding","ENSG00000180061","TMEM150B"
"ENST00000327216","protein_coding","ENSG00000181371","OR5M8"
"ENST00000327220","protein_coding","ENSG00000177138","FAM9B"
"ENST00000327335","protein_coding","ENSG00000184954","OR6C70"
"ENST00000327407","protein_coding","ENSG00000136696","IL36B"
"ENST00000327606","protein_coding","ENSG00000185231","MC2R"
"ENST00000327674","protein_coding","ENSG00000123561","SERPINA7"
"ENST00000327809","protein_coding","ENSG00000185897","FFAR3"
"ENST00000328020","protein_coding","ENSG00000089505","CMTM1"
"ENST00000328051","protein_coding","ENSG00000184148","SPRR4"
"ENST00000328314","protein_coding","ENSG00000185821","OR6C76"
"ENST00000328444","protein_coding","ENSG00000182545","RNASE10"
"ENST00000328458","protein_coding","ENSG00000183560","IZUMO1R"
"ENST00000328794","protein_coding","ENSG00000183318","SPDYE4"
"ENST00000328882","protein_coding","ENSG00000184140","OR4F6"
"ENST00000328886","protein_coding","ENSG00000182271","TMIGD1"
"ENST00000329357","protein_coding","ENSG00000189132","FAM47B"
"ENST00000329411","protein_coding","ENSG00000124812","CRISP1"
"ENST00000329447","protein_coding","ENSG00000184814","PRR23B"
"ENST00000329524","protein_coding","ENSG00000072736","NFATC3"
"ENST00000329621","protein_coding","ENSG00000183640","KRTAP8-1"
"ENST00000329625","protein_coding","ENSG00000182346","DAOA"
"ENST00000329715","protein_coding","ENSG00000166090","IL25"
"ENST00000329800","protein_coding","ENSG00000133069","TMCC2"
"ENST00000330553","protein_coding","ENSG00000185640","KRT79"
"ENST00000330767","protein_coding","ENSG00000182896","TMEM95"
"ENST00000331335","protein_coding","ENSG00000168386","FILIP1L"
"ENST00000331342","protein_coding","ENSG00000182600","SNORC"
"ENST00000331428","protein_coding","ENSG00000172967","XKR3"
"ENST00000331555","protein_coding","ENSG00000263961","RHEX"
"ENST00000331769","protein_coding","ENSG00000108342","CSF3"
"ENST00000332007","protein_coding","ENSG00000130226","DPP6"
"ENST00000332047","protein_coding","ENSG00000182923","CEP63"
"ENST00000332112","protein_coding","ENSG00000182585","EPGN"
"ENST00000332271","protein_coding","ENSG00000184571","PIWIL3"
"ENST00000332411","protein_coding","ENSG00000185069","KRT76"
"ENST00000332517","protein_coding","ENSG00000184108","TRIML1"
"ENST00000332644","protein_coding","ENSG00000185873","TMPRSS11B"
"ENST00000332715","protein_coding","ENSG00000183463","URAD"
"ENST00000332793","protein_coding","ENSG00000184999","SLC22A10"
"ENST00000332968","protein_coding","ENSG00000215472","RPL17-C18orf32"
