"gene","n_detected_iso","n_annotated_iso","frac_detected"
"ENSG00000081052",8,8,1
"ENSG00000081059",16,24,0.667
"ENSG00000081087",22,22,1
"ENSG00000081138",4,4,1
"ENSG00000081148",1,1,1
"ENSG00000081154",7,8,0.875
"ENSG00000081177",14,14,1
"ENSG00000081181",4,4,1
"ENSG00000081189",32,57,0.561
"ENSG00000081237",12,23,0.522
"ENSG00000081248",6,8,0.75
"ENSG00000081277",4,5,0.8
"ENSG00000081307",15,15,1
"ENSG00000081320",4,5,0.8
"ENSG00000081377",12,13,0.923
"ENSG00000081386",4,4,1
"ENSG00000081479",7,7,1
"ENSG00000081665",8,12,0.667
"ENSG00000081692",5,5,1
"ENSG00000081721",5,5,1
"ENSG00000081760",11,12,0.917
"ENSG00000081791",7,7,1
"ENSG00000081800",2,4,0.5
"ENSG00000081803",6,6,1
"ENSG00000081818",2,2,1
"ENSG00000081842",3,3,1
"ENSG00000081853",2,2,1
"ENSG00000081870",6,6,1
"ENSG00000081913",6,7,0.857
"ENSG00000081923",6,8,0.75
"ENSG00000081985",12,18,0.667
"ENSG00000082014",13,15,0.867
"ENSG00000082068",7,7,1
"ENSG00000082074",9,14,0.643
"ENSG00000082126",12,12,1
"ENSG00000082146",10,10,1
"ENSG00000082153",13,13,1
"ENSG00000082175",4,10,0.4
"ENSG00000082196",5,6,0.833
"ENSG00000082212",17,19,0.895
"ENSG00000082213",9,10,0.9
"ENSG00000082258",10,10,1
"ENSG00000082269",16,16,1
"ENSG00000082293",4,5,0.8
"ENSG00000082397",27,36,0.75
"ENSG00000082438",25,25,1
"ENSG00000082458",10,10,1
"ENSG00000082482",8,9,0.889
"ENSG00000082497",3,4,0.75
"ENSG00000082512",6,7,0.857
"ENSG00000082515",7,7,1
"ENSG00000082516",3,3,1
"ENSG00000082556",4,4,1
"ENSG00000082641",18,23,0.783
"ENSG00000082684",13,14,0.929
"ENSG00000082701",46,69,0.667
"ENSG00000082781",12,13,0.923
"ENSG00000082805",28,33,0.848
"ENSG00000082898",54,55,0.982
"ENSG00000082929",4,4,1
"ENSG00000082996",16,16,1
"ENSG00000083067",25,29,0.862
"ENSG00000083093",16,17,0.941
"ENSG00000083097",7,7,1
"ENSG00000083099",11,11,1
"ENSG00000083123",5,6,0.833
"ENSG00000083168",17,17,1
"ENSG00000083223",7,7,1
"ENSG00000083290",9,11,0.818
"ENSG00000083307",6,6,1
"ENSG00000083312",17,19,0.895
"ENSG00000083444",9,9,1
"ENSG00000083454",9,12,0.75
"ENSG00000083457",7,9,0.778
"ENSG00000083520",5,5,1
"ENSG00000083535",6,8,0.75
"ENSG00000083544",9,9,1
"ENSG00000083635",1,1,1
"ENSG00000083642",9,9,1
"ENSG00000083720",8,8,1
"ENSG00000083750",6,6,1
"ENSG00000083782",3,3,1
"ENSG00000083799",14,15,0.933
"ENSG00000083807",8,8,1
"ENSG00000083812",3,3,1
"ENSG00000083814",5,6,0.833
"ENSG00000083817",1,1,1
"ENSG00000083828",7,7,1
"ENSG00000083838",6,7,0.857
"ENSG00000083844",5,5,1
"ENSG00000083845",9,9,1
"ENSG00000083857",11,11,1
"ENSG00000083896",6,7,0.857
"ENSG00000083937",9,10,0.9
"ENSG00000084070",6,6,1
