gene	H2	non_ase	H1
ENSG00000182628	no	yes	no
ENSG00000186951	no	yes	yes
ENSG00000157168	no	yes	no
ENSG00000204392	no	yes	no
ENSG00000105197	no	yes	no
ENSG00000198467	no	yes	no
ENSG00000150753	no	yes	no
ENSG00000119411	no	yes	no
ENSG00000165806	no	yes	no
ENSG00000050405	no	yes	no
ENSG00000073910	yes	yes	yes
ENSG00000087586	no	yes	no
ENSG00000130066	no	yes	no
ENSG00000172201	no	yes	no
ENSG00000178531	no	yes	no
ENSG00000171587	no	yes	no
ENSG00000079246	no	yes	no
ENSG00000087903	yes	yes	yes
ENSG00000128309	no	yes	no
ENSG00000197444	yes	yes	yes
ENSG00000029993	no	yes	yes
ENSG00000125430	no	yes	no
ENSG00000001626	no	yes	no
ENSG00000074966	no	yes	no
ENSG00000115594	no	yes	no
ENSG00000115963	no	yes	no
ENSG00000123485	no	yes	no
ENSG00000130726	no	yes	no
ENSG00000137962	no	yes	no
ENSG00000152670	no	yes	no
ENSG00000159713	no	yes	no
ENSG00000162073	no	yes	no
ENSG00000165240	no	yes	no
ENSG00000165943	no	yes	no
ENSG00000166450	no	yes	no
ENSG00000167900	no	yes	no
ENSG00000198242	no	yes	no
ENSG00000198826	no	yes	no
ENSG00000274290	no	yes	no
ENSG00000048707	no	yes	no
ENSG00000184357	no	yes	no
ENSG00000162188	no	yes	no
ENSG00000242265	no	yes	no
ENSG00000276231	no	yes	no
ENSG00000080511	no	yes	no
ENSG00000104472	no	yes	no
ENSG00000182899	no	yes	no
ENSG00000243910	no	yes	no
ENSG00000079616	no	yes	no
ENSG00000108830	no	yes	no
ENSG00000109805	no	yes	no
ENSG00000113580	no	yes	no
ENSG00000196136	no	yes	no
ENSG00000154678	yes	yes	yes
ENSG00000198363	no	yes	no
ENSG00000023171	yes	yes	yes
ENSG00000070961	no	yes	no
ENSG00000163618	yes	yes	no
ENSG00000166165	no	yes	no
ENSG00000078549	no	yes	no
ENSG00000161980	yes	yes	yes
ENSG00000076716	no	yes	no
ENSG00000138623	no	yes	no
ENSG00000147536	no	yes	no
ENSG00000104889	no	yes	no
ENSG00000138180	no	yes	no
ENSG00000179051	no	yes	yes
ENSG00000107819	no	yes	no
ENSG00000002933	no	yes	no
ENSG00000132681	no	yes	no
ENSG00000145692	no	yes	no
ENSG00000101542	no	yes	no
ENSG00000136153	no	yes	no
ENSG00000103202	no	yes	no
ENSG00000117724	yes	yes	yes
ENSG00000119138	no	yes	no
ENSG00000161405	no	yes	no
ENSG00000168658	no	yes	no
ENSG00000126756	no	yes	no
ENSG00000165091	no	yes	no
ENSG00000011009	no	yes	no
ENSG00000088325	yes	yes	yes
ENSG00000123136	no	yes	no
ENSG00000135074	no	yes	no
ENSG00000151693	no	yes	no
ENSG00000184160	no	yes	no
ENSG00000104435	no	yes	no
ENSG00000120438	no	yes	no
ENSG00000139517	no	yes	no
ENSG00000166426	no	yes	no
ENSG00000175216	no	yes	no
ENSG00000273611	no	yes	no
ENSG00000068489	no	yes	yes
ENSG00000095015	no	yes	no
ENSG00000114126	no	yes	no
ENSG00000145016	no	yes	no
ENSG00000038945	no	yes	no
ENSG00000075461	no	yes	no
ENSG00000157890	no	yes	no
ENSG00000166803	no	yes	no
ENSG00000169129	no	yes	no
ENSG00000171792	no	yes	yes
ENSG00000179603	no	yes	no
ENSG00000180660	no	yes	no
ENSG00000196747	no	yes	no
ENSG00000167523	no	yes	no
ENSG00000163251	no	yes	no
ENSG00000077942	yes	yes	yes
ENSG00000148468	no	yes	yes
ENSG00000184990	no	yes	no
ENSG00000162383	yes	yes	yes
ENSG00000129235	no	yes	no
ENSG00000135838	no	yes	no
ENSG00000150275	no	yes	yes
ENSG00000163040	no	yes	no
ENSG00000034510	no	yes	no
ENSG00000109819	no	yes	no
ENSG00000135423	no	yes	no
