gene	non_ase	H1	H2
ENSG00000150687	yes	no	no
ENSG00000152661	yes	no	no
ENSG00000124140	yes	no	no
ENSG00000129673	yes	no	no
ENSG00000180448	yes	no	no
ENSG00000171223	yes	no	no
ENSG00000172985	yes	no	no
ENSG00000118263	yes	no	no
ENSG00000197329	yes	no	no
ENSG00000110090	yes	no	no
ENSG00000160685	yes	no	no
ENSG00000100097	yes	no	no
ENSG00000107249	yes	no	no
ENSG00000108511	yes	no	no
ENSG00000152147	yes	no	no
ENSG00000152430	yes	no	no
ENSG00000166508	yes	no	no
ENSG00000189376	yes	no	no
ENSG00000184838	yes	no	no
ENSG00000104611	yes	no	no
ENSG00000134376	yes	no	no
ENSG00000114279	yes	no	no
ENSG00000164761	yes	no	no
ENSG00000107831	yes	no	no
ENSG00000008441	yes	no	no
ENSG00000131771	yes	no	no
ENSG00000196670	yes	no	no
ENSG00000082126	yes	no	no
ENSG00000134222	yes	no	no
ENSG00000154175	yes	no	no
ENSG00000185008	yes	no	no
ENSG00000005513	yes	no	no
ENSG00000013583	yes	no	no
ENSG00000144535	yes	no	no
ENSG00000155287	yes	no	no
ENSG00000156920	yes	no	no
ENSG00000159307	yes	no	no
ENSG00000175040	yes	no	no
ENSG00000188483	yes	no	no
ENSG00000204628	yes	no	no
ENSG00000152192	yes	no	no
ENSG00000154229	yes	no	no
ENSG00000122641	yes	no	no
ENSG00000082781	yes	no	no
