isoform_id	H9.FT_1	H9.FT_2	H9.hRGC_1	H9.hRGC_2
ENST00000274181.7	10.39331	9.05625	1.07662	0.93422
ENST00000274254.9	5.4207	6.29264	3.04067	5.16988
ENST00000274255.11	31.32442	30.98304	7.50519	8.75742
ENST00000274376.11	76.3632	24.21422	26.18657	16.84757
ENST00000275036.11	109.88175	96.69596	37.37108	42.60324
ENST00000275159.11	19.94135	10.34547	16.11612	12.1104
ENST00000275517.8	14.85294	18.23961	0.41692	0.73359
ENST00000275607.13	11.48082	7.4595	0	0.15525
ENST00000276202.9	2.1736	2.71063	2.5269	0.57854
ENST00000276204.10	0	0.54998	7.58071	9.25672
ENST00000276390.7	38.65358	53.68207	64.72942	80.95602
ENST00000277082.9	0.77833	0	0	2.1051
ENST00000277120.8	0	0	0.5774	0.84811
ENST00000277632.8	8.96899	11.20982	16.20219	17.28098
ENST00000277817.10	1.98739	1.44474	10.49488	2.64323
ENST00000277945.12	13.00969	7.28755	2.67239	1.63017
ENST00000278071.6	1.22322	2.62377	8.27287	7.26914
ENST00000278187.7	0.24151	0.30853	0	0
ENST00000278353.10	13.30834	9.46811	21.57615	26.07498
ENST00000278886.11	33.99627	45.23012	43.5085	29.8183
ENST00000279147.9	9.48356	6.07865	2.57529	3.94
ENST00000279873.12	23.90101	23.97805	8.41314	7.94115
ENST00000280082.4	0	0.39668	0	0.16302
ENST00000280083.7	4.45784	6.57426	10.37273	6.02285
ENST00000280241.12	2.12478	3.57717	55.14945	36.44869
ENST00000280772.7	6.86464	7.23585	72.75545	35.90634
ENST00000280987.9	12.13336	8.86654	20.69866	20.37418
ENST00000281129.7	0	0	3.68877	2.69164
ENST00000281171.9	2.59308	0.6494	4.12732	8.10286
ENST00000281405.9	10.82031	11.44783	0	1.17891
ENST00000281924.6	6.0254	2.76197	4.22431	7.00555
ENST00000282441.10	39.28807	43.64373	0.56046	0.60473
ENST00000283256.10	1.20756	0.42991	0	5.6e-4
ENST00000283268.8	7.77385	10.52344	11.52772	12.96009
ENST00000283410.4	0	1.73611	2.10655	0.37111
ENST00000284031.13	30.74926	31.51138	16.1388	20.94806
ENST00000284037.10	12.50912	25.00354	19.53865	20.71376
ENST00000284290.8	7.20198	13.82031	23.51189	9.90456
ENST00000284483.12	1.74518	5.09	0	0.36011
ENST00000285735.6	0	5.13613	0	0.23958
ENST00000285848.9	32.05662	27.90459	43.91773	65.71776
ENST00000285900.10	0	0.56196	0	3.0503
ENST00000286371.8	81.02599	69.72911	44.33242	46.93601
ENST00000287008.8	1.61055	1.37781	4.80844	16.8995
ENST00000287196.13	5.57961	7.58518	41.15915	15.91775
ENST00000287272.6	5.07248	5.31319	1.64682	1.54869
ENST00000287675.10	8.10286	8.61587	3.623	7.52636
ENST00000288207.7	34.63787	35.90581	0.65873	1.52592
ENST00000288221.11	11.22189	13.08401	30.05821	50.22651
ENST00000288398.10	5.49666	5.69122	1.93245	4.92729
ENST00000288532.11	17.37593	23.69129	12.51017	16.42266
ENST00000288642.12	2.74406	9.80226	0.58754	1.06428
ENST00000288670.14	31.67018	29.96901	21.5184	19.89387
ENST00000288723.9	3.27734	4.53214	0	0.93105
ENST00000288828.9	21.90097	16.43848	21.45098	16.79313
ENST00000289081.8	5.14055	7.60586	3.80121	4.3016
ENST00000289153.6	0	0.00408	6.7183	5.2248
ENST00000289963.12	5.96487	6.49007	1.40993	1.78302
ENST00000290039.6	11.26851	6.05646	5.92643	5.84955
ENST00000290155.8	40.71238	38.72463	16.36719	27.7643
ENST00000290363.6	1.0202	2.60852	1.2876	1.96088
ENST00000290858.11	29.77414	28.93445	26.41215	30.53837
ENST00000291270.9	0.88888	0.10033	0	0.51556
ENST00000291440.4	0.91121	0.84447	0	0.10601
ENST00000291574.9	9.77973	9.73453	5.66152	8.8698
ENST00000292291.10	0.52914	0.58093	0	0.13344
ENST00000293406.8	0	0	7.65431	16.03635
ENST00000295012.5	0.24151	0.29212	0	0
ENST00000295851.10	91.45585	76.41962	125.58815	91.42771
ENST00000295864.9	0.14283	0.27148	0	0.27964
ENST00000295874.14	6.55036	6.12844	3.04574	2.74289
ENST00000295878.8	14.59224	11.44557	10.50818	5.70883
ENST00000295902.11	3.23012	3.13421	0	0
ENST00000295911.6	0	0	0	1.09501
ENST00000295951.7	4.32184	7.92319	0.33797	1.73639
ENST00000295952.7	0	0	3.66399	3.78021
ENST00000295955.14	0.43717	0.78751	0.59893	1.34181
ENST00000296048.10	39.40914	42.42466	16.70369	21.06482
ENST00000296214.10	44.39985	46.50007	9.94629	9.41679
ENST00000296315.8	7.57992	6.4475	2.40387	7.38756
ENST00000296388.10	26.42835	22.03989	14.89954	10.20469
ENST00000296402.9	88.35404	29.21589	10.20484	14.11607
ENST00000296444.7	20.38328	20.65399	6.45994	9.70963
ENST00000296701.10	0.43338	0.24977	0.52031	0.15611
ENST00000296873.11	21.12224	10.72613	4.50199	4.70998
ENST00000296933.10	24.20091	29.59978	31.86096	28.23312
ENST00000297056.11	9.92545	9.67088	9.49853	10.64653
ENST00000297107.11	21.42929	14.25692	1.97618	1.85748
ENST00000297488.10	0	0.1707	9.68925	6.93523
ENST00000297788.9	0	2.82374	19.89614	5.01134
ENST00000299427.12	24.7104	24.99603	4.35901	7.3532
ENST00000299610.5	74.84265	70.12716	3.08656	3.76706
ENST00000299767.10	106.65102	58.48014	1.19763	0.09275
ENST00000299957.11	43.76255	42.04886	50.21083	43.15019
ENST00000300027.12	1.9484	0.40642	1.25261	0.65468
ENST00000300093.9	20.78573	20.63488	0	0
ENST00000300128.9	9.59441	10.40132	0	0
ENST00000300231.6	11.61479	10.46172	40.87169	39.96027
ENST00000300249.10	18.93477	25.42536	36.72572	39.31287
ENST00000300413.10	70.95225	68.09274	64.01669	84.65627
ENST00000300452.8	18.23658	17.29422	11.03542	8.83424
ENST00000300797.7	18.53007	13.26163	26.13393	12.81934
ENST00000301021.7	1.74265	4.5864	15.85213	20.43654
ENST00000301072.11	19.28632	15.36025	5.70074	2.32083
ENST00000301332.3	0.329	0	9.20981	10.0314
