"","gene_id","gene_name","DG-WT-hRGC","EP1-BRN3B-RO","H9-BRN3B-RO","hRGC"
"17792","MKRN2OS","MKRN2OS",66.4090276438671,88.6146784754848,82.0334747890862,192.940609132199
"17793","MKRN3","MKRN3",52.0637882098647,238.906298328794,225.785578790655,91.4897744574131
"17794","MKRN4P","MKRN4P",0,2.00628183414401,2.99999943798013,0
"17795","MKRN5P","MKRN5P",9.13281770388132,17.755848547654,38.5976823149244,29.492836325321
"17796","MKRN6P","MKRN6P",0,1.00000206836194,4.99999430144171,0
"17797","MKRN7P","MKRN7P",14.706027303857,23.4962911525752,29.7159257098638,20.6929328820457
"17798","MKRN8P","MKRN8P",0,1.00000206836194,1.00000457451856,1.00000152331362
"17799","MKRN9P","MKRN9P",27.0773809788478,33.7151300679244,40.8807315724591,31.9609104604652
"17800","MKS1","MKS1",265.755954288323,344.554630487166,393.83107544684,405.288493083075
"17801","MKX","MKX",5.00000385928882,8.00000127269251,13.9999926153821,4.00053553936523
"17802","MLANA","MLANA",25.8422260987323,59.5175509331225,47.2702552371138,50.447559945815
"17803","MLC1","MLC1",0.999994715321423,247.670437427606,57.9415801776913,2.00000304662724
"17804","MLEC","MLEC",828.346479436393,1277.58289299477,774.019311952782,1022.66812947994
"17805","MLECP1","MLECP1",0,1.00071995590147,4.00477539473451,0
"17806","MLF1","MLF1",176.061815613067,459.314482942467,516.103373756338,347.979840988198
"17807","MLF2","MLF2",1990.16248845022,2484.52501058329,2053.95433945294,2796.31398515967
"17808","MLH1","MLH1",535.919144082865,490.206711188728,451.854326259987,611.827620119918
"17809","MLH3","MLH3",253.809693757791,410.047602363681,433.85852959132,546.530379656536
"17810","MLIP","MLIP",9.64521581970096,35.0071138002363,65.1120962580105,24.2255602393897
"17811","MLKL","MLKL",140.899685402869,112.020943475762,102.301363678836,229.031626885977
"17812","MLLT1","MLLT1",968.5105227939,799.191801173944,721.204024850026,842.790177698382
