"gene","logFC","logCPM","F","PValue","FDR"
"ENSG00000008853",0.375032509589005,4.1526273900585,3.4235337261565,0.0851286784064157,0.114981861011713
"ENSG00000115652",0.242221733305676,4.78533237345146,3.4235019617439,0.0851293326879551,0.114981861011713
"ENSG00000115289",-0.282976678641267,4.39084119174924,3.42297903290241,0.0851513029168997,0.115000075701042
"ENSG00000155957",0.375976407662461,6.33298396623274,3.42190201103472,0.085193882466291,0.115046117659471
"ENSG00000106144",-0.326311547373763,5.61174907699829,3.41832952777285,0.0853409789082595,0.115233276362079
"ENSG00000130045",0.588054029870206,3.37035151134351,3.41573775891209,0.085451507858635,0.115371026747279
"ENSG00000142627",-0.455115654835588,5.77958350284168,3.41244321048337,0.0855836028939684,0.115537863906857
"ENSG00000164061",0.283367367875022,5.32847380788827,3.40855408974961,0.0857443866238031,0.115743393715669
"ENSG00000105146",1.21342765141929,0.313152410648373,3.4157912339759,0.0857795096253568,0.115779274393755
"ENSG00000095596",0.412415554191185,7.9163928055287,3.40193491193801,0.0860185674020251,0.116090377632883
"ENSG00000188549",-1.01264490180937,2.14489583293207,3.3981929122853,0.0862376188570066,0.116372011455223
"ENSG00000171150",-0.277982853400804,4.88781879372099,3.39652958982853,0.0862444189957002,0.116372011455223
"ENSG00000164850",0.97333908538674,1.73777727902251,3.39218984665872,0.0864528776739657,0.116641678677377
"ENSG00000188827",0.473664438268788,2.75648024948937,3.39136086952009,0.086467138972676,0.116649308414019
"ENSG00000166016",0.553311167859517,3.82818730515628,3.38787692716989,0.0866074147940875,0.116821489662132
"ENSG00000137274",-0.425256038052022,5.62400010713904,3.3877148354788,0.0866120074970316,0.116821489662132
"ENSG00000094841",0.489752363107793,4.11415904512181,3.38538932880602,0.0867110926088956,0.116943497434923
"ENSG00000138650",0.261893865236832,4.83961840361676,3.38452807286706,0.0867463994920531,0.116979474551317
"ENSG00000100625",-0.536449873641131,2.65847875659939,3.38163435637562,0.0868820755473525,0.11715078113498
"ENSG00000083845",0.460627162428488,9.96666312626802,3.38032349711866,0.0869219959965147,0.117192950734782
"ENSG00000168710",-0.406475337262786,7.37645157318293,3.37797921839585,0.0870206855627522,0.117314339776959
"ENSG00000213859",-0.501462116440505,4.25867393481747,3.37553884701545,0.087125625587151,0.117439204434555
"ENSG00000005379",-0.352824070819691,5.44321322122798,3.37538020296852,0.0871306359594134,0.117439204434555
"ENSG00000143256",0.418137887770893,6.01530850200612,3.37354585960575,0.0872077595748764,0.117531467960413
"ENSG00000072315",-0.537659303169202,2.47382543087697,3.37266220812503,0.0872657035447886,0.11759786695626
"ENSG00000144744",0.551919345551231,6.31105806120257,3.37160042733258,0.0872898943761602,0.117615578960829
"ENSG00000148082",0.437168035012367,3.4417273359691,3.37154049619101,0.0872962021798684,0.117615578960829
