"","LR__H9_CRX_ROs_D45","LR__EP1_WT_ROs_D45","SR__D0_1","SR__D0_2","SR__D0_3","SR__D10_3","SR__D10_4","SR__D10_5","SR__D10_6","SR__D25_1","SR__D25_2","SR__D25_3","SR__D25_4"
"ENSG00000114770",515,759,1243,1235,1001,1464,847,1488,1511,1455,1928,1411,1351
"ENSG00000114779",116.99999,137,282,261,211,211,145,183,192,274,264,273,252
"ENSG00000114784",1271,1435,2198,2248,1808,2369,2064,2127,2148,3523,3488,3015,3050
"ENSG00000114786",16,68,52,37,76,88,123,133,68,216,218,225,240
"ENSG00000114790",1721,2721,436,432,365,967,416,892,855,726,736,617,741
"ENSG00000114796",756,1064.00001,779,899,702,1688,739,1171,1317,2711,2991,2606,2378
"ENSG00000114805",2250.99999,3011.00001,813,707,623,2040,793,1801,1790,5030,5059,3832,4105
"ENSG00000114841",115,115,24,15,19,51,26,48,59,56,112,55,71
"ENSG00000114850",1595.00001,1915.00001,4589,4751,3984,4787,3754,3694,4203,2844,2652,2855,2833
"ENSG00000114853",106,190,15,17,25,16,14,15,9,40,25,15,28
"ENSG00000114854",39,18,61,34,41,48,79,55,49,5,9,5,4
"ENSG00000114857",1890.00001,2124,1370,1110,1010,1746,930,1428,1724,1334,1482,1293,1242
"ENSG00000114859",158.99999,100.00001,214,199,138,356,302,395,440,178,195,171,253
"ENSG00000114861",2411.99997,3031.99996,495,445,516,991,504,869,872,2082,2220,1981,2600
"ENSG00000114867",1758.99999,2018.00002,8505,7852,6925,5854,3087,6040,6184,6006,6283,4484,6128
"ENSG00000114902",1841,2020,3406,3351,2709,3075,2700,2434,2704,2543,2206,2243,2610
"ENSG00000114904",432,595,808,798,631,1056,497,959,973,1177,1066,935,1066
"ENSG00000114923",133.00001,144,170,102,158,157,86,151,164,199,218,153,174
"ENSG00000114933",499,635,850,866,748,654,302,507,493,530,481,417,433
"ENSG00000114942",4548,5173,8426,7563,7186,9234,15178,8926,8299,6697,6061,6654,6724
"ENSG00000114948",347,363,191,129,110,128,125,148,124,219,297,205,204
"ENSG00000114956",1275.00001,1617,3115,2558,2722,3000,3507,2507,2798,3430,3066,2973,3094
"ENSG00000114978",1198,1499,2549,2603,2153,3795,2361,3044,3298,3695,3202,3351,3510
"ENSG00000114982",1329,1183.99999,1462,1523,1102,2342,1242,2278,2471,6279,6578,4838,5845
"ENSG00000114988",373.99999,366,1039,946,811,1478,1259,1329,1413,1736,1501,1350,1500
"ENSG00000114993",246,251,1072,858,866,949,513,767,782,708,788,534,833
"ENSG00000114999",888,888,582,435,431,447,396,441,460,653,599,540,649
"ENSG00000115008",27,26,31,45,55,86,67,29,57,44,51,64,66
"ENSG00000115020",772.00001,751,603,731,628,776,304,719,697,763,803,666,673
"ENSG00000115041",34,49,8,8,9,28,25,34,25,35,40,31,33
"ENSG00000115042",314,310,1733,1269,1145,1302,1428,1197,1256,979,986,851,959
"ENSG00000115053",9854.00001,9756.00001,30833,29059,26245,21736,12376,21773,22790,22962,22015,15957,20800
"ENSG00000115073",738,751,343,240,256,429,565,347,368,750,722,797,993
"ENSG00000115084",672,745,701,686,502,916,845,637,844,662,658,771,643
"ENSG00000115091",1520,1634.00001,4586,4699,3524,5935,4119,4521,4957,6021,5210,5512,5895
"ENSG00000115107",28,26,1274,1106,967,157,107,121,171,83,94,66,147
"ENSG00000115109",792.00001,1277.00001,1298,1379,1093,3319,1408,2676,2969,4002,4030,3526,3664
"ENSG00000115128",1801,2083,2193,2015,1804,2216,2008,1980,1906,1755,1480,1448,1779
"ENSG00000115129",599,402,1100,890,831,778,1217,727,794,766,842,715,768
"ENSG00000115137",122,160.00001,103,96,101,214,98,186,151,334,439,314,317
"ENSG00000115138",16,43,21,29,33,1,5,8,3,1593,1259,1553,2125
"ENSG00000115145",323,486,224,249,190,287,184,173,211,431,398,397,355
"ENSG00000115159",500,517.99999,1438,1585,1277,2247,1122,1880,1956,1250,1120,1135,1184
"ENSG00000115163",700,822,106,184,167,409,444,392,359,304,169,334,548
"ENSG00000115170",556.99999,580,139,130,126,223,157,176,207,127,157,150,118
"ENSG00000115183",795,1104.00001,350,337,267,115,67,181,191,179,261,212,171
