variants_overlapped.counts_per_read	variants_overlapped.Freq	sample	sample_clean	Freq_percentage
81	2	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	6.0358007485600085e-5
82	1	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	3.0179003742800043e-5
83	1	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	3.0179003742800043e-5
89	1	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	3.0179003742800043e-5
93	1	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	3.0179003742800043e-5
96	1	EP1-WT_hRO_2_variants_per_read	EP1-WT_hRO_2	3.0179003742800043e-5
1	3007020	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	48.58361213118425
2	1336698	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	21.596669516175393
3	672346	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	10.862913210405386
4	396238	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	6.401910630337072
5	246579	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	3.9839104813720168
6	154830	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	2.501546603039307
7	105453	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.7037757148505073
8	70552	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	1.1398896592238532
9	49517	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.8000328304766349
10	35313	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.5705426286451402
11	26668	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.430867692371325
12	18839	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.3043766482894627
13	14084	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.22755139415620745
14	11014	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.17795023113011
15	8785	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.1419368785616503
16	6853	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.11072207498952641
17	5053	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.08163995986021844
18	4098	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.06621028211105781
19	3338	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.05393116683423889
20	2838	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.04585280152054223
21	2139	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.0345592468119943
22	1775	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.02867819686362314
23	1449	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.023411102679092917
24	1171	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.018919531564677575
25	994	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.016059790243628958
26	827	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.013361616228854274
27	671	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.010841166250980916
28	530	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.008563067232518458
29	485	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.00783601435428576
30	395	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.0063819085978203596
31	303	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.004895489380100175
32	313	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.005057056686374108
33	313	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.005057056686374108
34	230	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.003716048044300463
35	186	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.003005151896695157
36	183	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.002956681704812977
37	145	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.0023427259409720307
38	133	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.0021488451734433113
39	101	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.0016318297933667252
40	108	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.0017449269077584784
41	99	EP1-WT_ROs_D45_variants_per_read	EP1-WT_ROs_D45	0.0015995163321119383
