H9.BRN3B_hRO_2_h1	H9.BRN3B_hRO_2_h2	H9.BRN3B.RO_h1	H9.BRN3B.RO_h2	H9.CRX_hRO_2_h1	H9.CRX_hRO_2_h2	H9.CRX_ROs_D45_h1	H9.CRX_ROs_D45_h2	H9.FT_1_h1	H9.FT_1_h2	H9.FT_2_h1	H9.FT_2_h2	H9.hRGC_1_h1	H9.hRGC_1_h2	H9.hRGC_2_h1	H9.hRGC_2_h2
1	0	3	3	0	1	2	1	2	0	0	6	1	1	1	3
459	406	422	384	448	411	24	13	296	243	149	132	2	1	11	19
1	1	2	2	1	3	1	0	0	1	0	0	0	0	0	0
7	8	7	4	6	7	0	1	6	1	0	2	0	0	0	0
7	6	4	3	1	4	1	0	3	1	4	0	0	0	0	0
4	2	4	3	3	4	1	1	3	1	1	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
39	49	73	77	68	60	92	102	139	142	152	137	2	5	19	20
0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1
72	99	153	166	63	78	156	133	133	161	113	125	70	49	229	245
7	6	5	8	6	7	5	2	19	25	9	18	5	2	12	16
22	10	49	45	25	19	21	13	17	20	26	12	11	9	34	24
0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1
1	2	2	2	0	3	1	1	0	2	2	0	2	0	4	6
1	0	5	2	0	0	1	1	0	1	2	4	1	4	1	4
6	4	11	11	4	10	4	5	1	10	1	6	0	2	8	12
9	8	14	17	13	9	8	5	14	8	1	9	0	3	10	10
16	8	45	33	19	19	11	9	9	15	17	7	9	5	22	15
32	28	19	6	33	45	54	48	24	15	25	22	7	5	24	19
1	3	0	0	3	2	7	6	4	0	4	2	0	2	1	2
2	2	1	0	2	0	1	1	1	0	5	2	0	0	1	1
0	0	4	0	1	2	1	0	0	0	0	0	0	0	0	0
1	2	6	3	5	2	18	5	5	3	3	4	0	0	3	2
0	1	2	0	1	1	6	1	3	0	1	1	0	0	3	0
2	1	4	5	1	0	5	4	6	5	2	2	0	0	2	1
