isoform_id	EP1.BRN3B.RO	EP1.WT_ROs_D45	H9.BRN3B.RO	H9.CRX_ROs_D45
ENST00000262650.11	1.50442	0.69239	0.43385	0
ENST00000262662.5	16.24691	0.21732	0.77349	0.48145
ENST00000262710.5	45.04205	4.59204	36.43194	30.45376
ENST00000262738.9	7.22686	4.41129	5.32459	8.30721
ENST00000262891.9	24.95903	28.00026	19.14127	36.58123
ENST00000262960.14	9.42137	12.67226	11.61628	16.31864
ENST00000263062.8	14.14881	6.30374	1.16667	0.57655
ENST00000263083.12	0.26351	7.4945	3.16403	5.05011
ENST00000263084.7	21.51671	18.00196	20.29155	24.6978
ENST00000263119.10	15.74815	8.16854	18.99147	9.01738
ENST00000263257.6	27.78379	18.21468	21.3995	13.99209
ENST00000263274.12	6.76467	44.55317	4.70295	47.42342
ENST00000263280.11	11.55134	21.73845	14.44515	23.83851
ENST00000263441.11	1.93774	0	2.91394	0
ENST00000263512.5	2.5397	4.76709	1.95772	6.05847
ENST00000263574.9	4.13374	6.09299	3.95964	21.46629
ENST00000263630.13	28.34224	38.22604	29.62719	25.94176
ENST00000263650.12	2.98669	4.0115	1.98552	8.05524
ENST00000263666.9	12.49014	12.59864	12.9838	9.7659
ENST00000263710.8	14.39617	7.00773	8.51643	0
ENST00000263776.9	0.60783	0.96991	0.22475	1.29441
ENST00000263834.9	1.87433	0.31876	0.88465	0.08873
ENST00000264057.7	25.2523	13.49435	35.03605	15.78723
ENST00000264059.8	1.58351	8.87143	0.70753	9.2735
ENST00000264157.10	18.1464	39.59183	20.28372	32.66802
ENST00000264183.9	25.4171	66.35861	56.11831	62.30124
ENST00000264344.10	15.71975	19.11604	13.52906	13.82082
ENST00000264400.7	28.12037	12.97292	26.95598	15.61923
ENST00000264444.7	13.37022	8.43329	15.17483	8.04251
ENST00000264499.9	25.54267	15.17232	33.93257	10.89636
ENST00000264515.11	4.55329	11.51102	6.49103	17.67359
ENST00000264663.9	2.53075	9.59544	1.48245	6.40992
ENST00000264669.10	5.5676	3.69571	6.1864	3.95819
ENST00000264709.7	40.26537	25.21116	24.57889	19.63936
ENST00000264805.9	2.23561	2.06083	0.66327	0.4464
ENST00000264811.9	0	0	0	0
ENST00000264914.10	9.64424	14.00787	10.93477	17.95483
ENST00000264951.8	13.48257	9.04436	7.60734	18.00518
ENST00000264992.8	3.40222	5.0354	0.04164	1.85188
ENST00000265052.10	3.04323	0.51507	0.62595	3.36998
ENST00000265080.9	31.04894	7.42084	52.43819	8.97638
ENST00000265113.9	41.14493	9.18206	24.4242	8.07248
ENST00000265136.12	2.96693	0	9.36279	0.98417
ENST00000265295.9	14.79675	34.18091	10.13532	38.21311
ENST00000265316.9	14.02344	3.4771	17.28637	4.18175
ENST00000265381.7	2.37774	2.01443	3.68543	2.70819
ENST00000265393.10	91.10758	101.62086	52.15003	78.06642
ENST00000265421.9	8.41945	12.03125	9.37148	8.72875
ENST00000265450.5	4.16397	0	3.03095	0.02542
