isoform_id	EP1.BRN3B.RO	EP1.WT_hRO_2	H9.BRN3B_hRO_2	H9.BRN3B.RO	H9.CRX_hRO_2
ENST00000264447.9	1169.54115	431.25882	539.48238	1238.16225	498.38191
ENST00000264498.9	228.08296	60	61.66785	188	26
ENST00000264554.11	404.18647	70.45646	86.42941	318.05031	86.14008
ENST00000264723.9	607.84036	70.44304	29.13954	282.34536	28.49645
ENST00000264748.6	99.4592	119.24045	107.31106	85.23112	87.16561
ENST00000264805.9	36.6687	16.26898	19.34672	10.61836	19.6811
ENST00000264868.9	2e-5	0	0	218.12435	0
ENST00000264933.9	576.19464	315.54706	365.15635	429.51818	332.61985
ENST00000264951.8	221.14245	33.01194	256.18222	121.78587	110.52387
ENST00000265113.9	674.86334	78.22529	66.2157	391.0069	34.22276
ENST00000265175.5	355.54936	331.90051	478.44088	400.40873	309.42815
ENST00000265260.8	914.47778	1142.16602	835.43818	887.4399	757.0129
ENST00000265333.8	315.76675	176.57477	208.72355	554.21392	173.65447
ENST00000265350.9	115.5707	85.64626	82.78274	109.94988	85.88913
ENST00000265381.7	39	9	7	59	9
ENST00000265393.10	1494.3559	271.29519	528.01646	834.86943	462.76207
ENST00000265529.7	3.72717	1	0	4.37043	0
ENST00000265654.6	0	3.05256	2.18078	7.22236	3.30161
ENST00000265663.12	199.20135	19.47732	9.41902	93.39043	18.49338
ENST00000265728.6	171.9474	85.29936	141.80085	83.21164	115.86472
ENST00000265748.7	121.42857	37.0248	72.66667	35.29768	47.84246
ENST00000265849.12	0	0	0	13.84135	18.3009
ENST00000265865.3	3.75786	6.92627	19.66798	7.77063	5.47085
ENST00000265960.8	218.59063	53.17679	62.46928	327.63306	17.19519
ENST00000265970.11	150.21461	168.74156	180.03832	171.74065	192.37578
ENST00000266041.9	34.84665	2.1094	0.83043	40.22085	0
ENST00000266503.10	39.61149	9.66466	5.53186	32.49306	6.54859
ENST00000266880.11	11.29562	13.57351	9.08964	41.27226	18.55027
ENST00000267215.8	63.60524	0.6188	0	13.00663	2.77246
ENST00000267219.12	148.58527	64.52494	10.90724	219.42894	97.72982
ENST00000267484.10	235.31206	93.11635	92.05086	312.22573	74.75049
ENST00000267836.10	189.35893	79.17962	58.21266	314.63152	78.94451
ENST00000267890.11	307.15423	203.79441	234.76944	522.48791	199.46956
ENST00000268043.8	0	17.35524	17.43346	0.73745	15.07773
ENST00000268711.4	168.96552	132	153	143	117.93438
ENST00000268989.8	46.06186	65.65588	44.37901	54.09017	12.88308
ENST00000269299.8	46.69199	42.91415	70.94705	72.52727	55.00233
ENST00000269701.7	214.24978	65.51603	54.78713	229.47158	68.62146
ENST00000270061.12	124.5273	59.70383	45.23084	70.82492	55.86895
ENST00000270301.12	0	3.21584	5.7241	2.18962	0
ENST00000271411.8	41.17465	141.01493	13.15824	18.57123	6.08123
ENST00000271877.11	68.88377	16.55573	31.5507	37.80384	26.97383
ENST00000272274.8	18.55142	2.66921	6.01051	12.53415	14.50773
ENST00000272317.11	879.95165	1012.55348	1301.19021	363.33466	1137.43362
ENST00000272321.12	71.03767	65.47762	108.64608	110.79994	62.36512
ENST00000272322.9	222.30011	161.93249	158.3216	150.68691	143.01466
ENST00000272430.10	25.41329	29.31625	54.60117	36.21733	35.99479
ENST00000273009.10	54.79059	11.17887	9.34832	38.73238	11.10605
ENST00000273062.7	448.91431	103.22831	112.69547	198.1675	73.61078
ENST00000273063.10	53.92515	0	0	24.06447	0
ENST00000273390.9	75.68515	72.68522	86.96074	127.35691	72.07488
ENST00000273482.10	109.28797	35.27705	32.85085	152.34591	36.20401
ENST00000274170.8	6.65936	0	0	8.74661	0
ENST00000274361.3	0	3.83583	1.33828	6.72292	3.87569
ENST00000275015.9	79.54099	21	23.5	66	20
ENST00000275036.11	1272.77115	806.39499	1045.2254	820.27677	914.22107
ENST00000275159.11	111.3008	78.21298	95.73364	201.82776	103.14845
ENST00000275428.9	310.69379	145.79852	194.95428	310.04162	145.28
ENST00000276141.10	14.2966	3.34279	7.32118	30.15798	15.82989
ENST00000276201.7	309.90695	71.84951	44.64025	337.56764	82.37297
ENST00000276500.4	43.06229	14.86263	7.4917299999999996	9.03893	12.672180000000001
ENST00000276520.12	122.82424	17.49424	4.47796	154.05503	6.45508
ENST00000276646.14	29.72466	62.63102	37.90278	45.47728	34.7371
ENST00000277010.9	272.3973	100.27148	152.54524	243.11207	99.24271
ENST00000278198.2	195.20647	106.10838	53.42954	381.08833	68.75726
ENST00000278407.9	563.00502	97.65303	159.03752	277.6401	143.40054
ENST00000278826.11	335.90403	73.38845	63.6641	459.98783	64.38186
ENST00000278840.9	649.0947	514.45418	666.90321	341.11015	484.96037
ENST00000278886.11	283.05315	210.57254	219.26623	300.10762	223.68338
ENST00000280346.11	211.34483	135.4261	161.16654	195.40447	114.08635
ENST00000280352.13	2e-5	61.05047	88.81064	166.33228	79.7494
ENST00000280560.13	36.44635	19.55344	19.56874	22.30004	31.07942
ENST00000280876.6	81.27778	19.78235	19.27805	51.90868	18.1087
ENST00000281708.10	182.29379	107.77129	21.44077	365.85865	44.17989
