isoform_id	EP1.BRN3B.RO	EP1.WT_hRO_2	H9.BRN3B_hRO_2	H9.BRN3B.RO	H9.CRX_hRO_2
ENST00000300289.10	5.3468	3.93718	8.35473	5.79621	9.29238
ENST00000300302.9	0	11.42893	0	0	0
ENST00000300417.11	0	3.49041	2.94193	0	2.12316
ENST00000300434.3	0	0.45566	0	1.03156	0.32627
ENST00000300584.8	4.92959	7.47277	9.04433	5.47193	7.68119
ENST00000300605.11	16.9054	26.28839	31.95795	17.27478	37.94316
ENST00000300688.8	227.88091	230.34963	306.6173	217.42647	315.66378
ENST00000301032.8	123.82134	30.13644	26.38714	202.90689	20.11538
ENST00000301072.11	24.70657	32.27207	16.16066	9.11211	11.53528
ENST00000301490.8	0.59467	0.06776	0.2724	0.69562	0.29803
ENST00000301671.12	1.10348	1.739	2.63399	1.0952	2.75681
