"","EP1-WT_ROs_D45","H9-CRX_ROs_D45","EP1-WT_hRO_2","H9-BRN3B_hRO_2","H9-CRX_hRO_2","EP1-BRN3B-RO","H9-BRN3B-RO"
"ENST00000535355",28,22,14,13,5,32,18
"ENST00000400913",7,4,9,5,3,18,9
"ENST00000377725",5,5,4,0,4,14,7
"ENST00000340850",10,7,6,2,7,17,13
"ENST00000377728",5,12,4,6,6,12,8
"ENST00000675548",14,18,11,20,10,22,13
"ENST00000377748",12,8,5,8,14,16,14
"ENST00000377732",19,7,17,9,14,37,13
"ENST00000400915",66,65,23,21,29,76,52
"ENST00000673471",15,11,8,9,8,14,4
"ENST00000377740",31,28,16,5,9,44,15
"ENST00000675694",4,1,2,0,2,8,3
"ENST00000675123",0,1,3,1,2,4,5
"ENST00000537245",6,6,2,5,4,22,10
"ENST00000675093",2,1,4,3,1,6,7
"ENST00000377705",475,456,281,279,219,740,582
"ENST00000464383",7,1,0,6,1,7,2
"ENST00000462798",1,3,4,2,8,5,2
"ENST00000460777",8,7,2,2,0,12,8
"ENST00000464665",0,3,0,1,2,9,3
"ENST00000333172",8,2,5,5,1,3,6
"ENST00000377674",105,90,50,61,58,111,102
"ENST00000319084",9,8,5,2,5,8,6
"ENST00000435905",18,11,4,2,3,9,11
"ENST00000482360",32,21,18,13,16,50,41
"ENST00000498342",11,13,12,9,10,19,20
"ENST00000466941",2,10,5,5,6,8,6
"ENST00000377658",38,60,34,31,25,59,69
"ENST00000377663",68,78,46,56,49,112,123
"ENST00000463043",5,5,2,1,1,4,3
"ENST00000377648",257,234,139,133,113,291,248
"ENST00000054650",195,149,129,172,159,220,186
"ENST00000484676",1,10,3,5,1,6,8
"ENST00000307896",7,0,3,2,3,3,3
"ENST00000377627",68,82,47,56,44,52,81
"ENST00000472925",3,3,1,0,0,2,6
"ENST00000451196",14,22,19,15,19,40,24
"ENST00000377577",195,174,64,83,67,165,149
"ENST00000690452",8,9,8,4,5,10,16
"ENST00000689025",1,5,0,0,2,8,4
"ENST00000691481",18,8,9,5,8,13,14
"ENST00000686243",9,8,4,3,5,17,18
"ENST00000688524",8,12,0,4,5,9,15
"ENST00000685129",20,10,6,7,1,16,14
"ENST00000472414",7,11,4,4,2,7,14
"ENST00000689169",12,19,8,14,8,16,13
"ENST00000685360",1,3,3,5,5,2,7
"ENST00000689474",6,4,4,0,0,13,6
"ENST00000690062",22,16,6,4,4,26,6
"ENST00000465508",3,3,4,4,4,1,2
"ENST00000294401",7,8,0,1,5,7,8
"ENST00000473993",5,2,1,2,1,3,2
"ENST00000685485",36,21,23,17,17,40,35
"ENST00000691444",5,7,5,2,1,7,2
