"isoform_id","gene_id","gene_symbol"
"ENST00000550903","ENSG00000058272","PPP1R12A"
"ENST00000551781","ENSG00000058272","PPP1R12A"
"ENST00000548318","ENSG00000058272","PPP1R12A"
"ENST00000623635","ENSG00000139304","PTPRQ"
"ENST00000551042","ENSG00000139304","PTPRQ"
"ENST00000547376","ENSG00000139304","PTPRQ"
"ENST00000644991","ENSG00000139304","PTPRQ"
"ENST00000551624","ENSG00000139304","PTPRQ"
"ENST00000541017","ENSG00000139220","PPFIA2"
"ENST00000550359","ENSG00000139220","PPFIA2"
"ENST00000549344","ENSG00000139220","PPFIA2"
"ENST00000549917","ENSG00000139220","PPFIA2"
"ENST00000548670","ENSG00000139220","PPFIA2"
"ENST00000548453","ENSG00000139220","PPFIA2"
"ENST00000552006","ENSG00000139220","PPFIA2"
"ENST00000550298","ENSG00000127720","METTL25"
"ENST00000551645","ENSG00000127720","METTL25"
"ENST00000680207","ENSG00000072041","SLC6A15"
"ENST00000680892","ENSG00000072041","SLC6A15"
"ENST00000681953","ENSG00000072041","SLC6A15"
"ENST00000680780","ENSG00000072041","SLC6A15"
"ENST00000680469","ENSG00000072041","SLC6A15"
"ENST00000681106","ENSG00000072041","SLC6A15"
"ENST00000681721","ENSG00000072041","SLC6A15"
"ENST00000679453","ENSG00000072041","SLC6A15"
"ENST00000525452","ENSG00000231738","TSPAN19"
"ENST00000526363","ENSG00000133640","LRRIQ1"
"ENST00000550879","ENSG00000133636","NTS"
"ENST00000550365","ENSG00000182050","MGAT4C"
"ENST00000674712","ENSG00000198707","CEP290"
"ENST00000671777","ENSG00000198707","CEP290"
"ENST00000676190","ENSG00000198707","CEP290"
"ENST00000547691","ENSG00000198707","CEP290"
"ENST00000672414","ENSG00000198707","CEP290"
"ENST00000676074","ENSG00000198707","CEP290"
"ENST00000378535","ENSG00000049130","KITLG"
"ENST00000552044","ENSG00000049130","KITLG"
"ENST00000359142","ENSG00000070961","ATP2B1"
"ENST00000550758","ENSG00000011465","DCN"
"ENST00000547937","ENSG00000011465","DCN"
"ENST00000344636","ENSG00000187510","PLEKHG7"
"ENST00000647865","ENSG00000187510","PLEKHG7"
"ENST00000547383","ENSG00000169372","CRADD"
"ENST00000550766","ENSG00000169372","CRADD"
"ENST00000551850","ENSG00000136040","PLXNC1"
"ENST00000546659","ENSG00000136040","PLXNC1"
