isoform_id	EP1.WT_hRO_2	EP1.WT_ROs_D45	H9.BRN3B_hRO_2	H9.CRX_hRO_2	H9.CRX_ROs_D45
ENST00000269445.10	22.10654	21.56412	26.37143	20.44231	25.29121
ENST00000269571.10	7.29282	11.80898	2.97533	5.28146	13.44328
ENST00000270061.12	7.75453	10.02315	5.274	7.05305	11.76843
ENST00000270457.8	0	0.29843	0	0	0.11604
ENST00000270460.11	34.95261	29.72763	26.84665	26.05105	52.84491
ENST00000271651.8	0.79133	0	0.63621	6.80331	0.21796
ENST00000271883.9	2.48442	4.79769	5.1259	6.36965	6.40043
ENST00000272163.9	50.87367	102.12331	48.42828	54.37194	81.75496
ENST00000272317.11	131.51374	64.78403	151.72112	143.59271	79.13873
ENST00000273062.7	13.40763	20.44272	13.14049	9.29282	29.27292
ENST00000273368.8	1.17129	2.24766	2.17667	1.50556	1.58049
ENST00000274030.11	0	0	0.51498	0.56101	0
ENST00000274569.9	6.55755	7.63186	7.41607	3.79318	9.92708
ENST00000274867.9	1.64316	0.29122	0	1.29823	1.70321
ENST00000274979.12	0.43843	0.08441	0.18802	0.98707	0.33246
ENST00000275233.12	3.99373	14.65809	6.81332	5.82861	15.88895
ENST00000275428.9	18.93679	34.21611	22.73202	18.34054	31.55579
ENST00000275607.13	3.25376	0.18415	3.19967	5.78089	0.24823
ENST00000275884.10	8.96001	14.65608	7.12233	10.25101	9.1329
ENST00000276052.10	48.02404	0	16.89716	49.86624	0
ENST00000276393.8	0.59771	0	0	1.95788	0.15995
ENST00000276431.9	6.60898	5.03725	9.75112	2.01802	6.39974
ENST00000276480.11	0	2.43253	0	0	0.61867
ENST00000276533.4	0.23119	2.652	0	0	3.0897
ENST00000276609.8	17.775	0.3613	6.35475	4.4578	0.49417
ENST00000276646.14	8.13472	2.99723	4.41953	4.38531	1.408
ENST00000276898.3	0	0.14759	11.13975	13.13284	0
ENST00000277010.9	13.02359	33.46788	17.78705	12.52867	36.8225
ENST00000277540.7	11.83417	11.95874	7.71625	10.71993	14.15407
ENST00000277632.8	15.27479	17.76206	18.0424	10.25746	21.00752
ENST00000278071.6	5.70245	2.87428	7.4414	5.88928	3.44644
ENST00000278198.2	13.7817	3.78403	6.22998	8.6801	3.96294
ENST00000278407.9	12.68349	35.27274	18.54406	18.10327	46.17576
ENST00000278826.11	9.53193	11.72518	7.42335	8.12774	12.06041
ENST00000278836.10	12.75544	6.9112	9.63873	13.80513	11.46808
ENST00000278886.11	27.34985	26.15586	25.56684	28.2384	22.73049
ENST00000279024.9	1.66905	0.17656	1.26789	7.34178	0.38393
ENST00000279027.9	3.37696	0.71197	2.23277	5.68092	0.61543
ENST00000279394.7	9.92927	8.2635	7.75353	10.4976	8.58343
ENST00000280057.6	0	0.25313	0	0	0.09355
ENST00000280154.12	58.5008	57.29193	47.04396	62.45933	54.45683
ENST00000280190.8	0.83421	0.37386	0	1.02249	0.40484
ENST00000280241.12	16.52804	3.78871	15.22085	13.36843	3.41865
ENST00000280346.11	17.58958	27.81687	18.79231	14.40257	30.73111
ENST00000280560.13	2.53966	1.716	2.28175	3.92355	2.26716
ENST00000280696.9	6.10729	4.92909	7.31709	6.05131	6.49652
ENST00000280876.6	2.5694	9.37421	2.24786	2.28609	4.97603
ENST00000280969.9	10.07887	26.51457	14.99359	14.16426	18.25366
ENST00000281129.7	4.06929	0	2.19945	1.01071	0
ENST00000281142.10	6.89707	28.20721	9.58966	11.11055	10.98551
ENST00000281171.9	12.079	10.97862	8.16373	9.6169	5.90024
ENST00000281394.8	1.9444	1.17031	0.68253	0.60065	1.64199
ENST00000281405.9	14.61106	22.37076	11.40582	12.44317	16.48973
ENST00000281708.10	13.99769	10.80375	2.50003	5.57739	4.15569
ENST00000281821.7	9.3592	9.47344	14.88377	11.25409	11.17993
ENST00000281923.4	12.48661	4.20056	10.04268	9.50964	3.08737
ENST00000282007.7	29.7581	56.5478	28.03477	27.0307	39.563720000000004
ENST00000282020.9	2.59767	0.84893	1.81372	2.27237	0.45076
ENST00000282268.7	0	0	0	0.61538	0.7148
ENST00000282369.7	14.15974	11.00526	15.88775	12.88776	9.74941
ENST00000283256.10	0	0	0.48957	0	0
ENST00000283269.13	0	0.41929	0	11.40832	0.1561
ENST00000283628.9	0.36034	0.36216	0.30213	0	0.64626
ENST00000283629.8	7.23526	23.28007	9.30002	6.81545	23.19444
ENST00000284322.10	0.23269	0.92405	0	0	0.69977
ENST00000284881.9	14.95323	13.064	16.81817	16.41961	14.1771
ENST00000285199.12	1.22655	4.74523	1.64166	2.25245	3.82716
ENST00000285871.5	5.4433	8.74417	6.87736	6.66056	4.93088
ENST00000286918.9	8.49875	8.23772	10.86966	9.29604	7.11586
ENST00000287272.6	3.97443	2.16072	2.89173	2.38836	7.88416
ENST00000287468.5	12.43502	1.06841	10.2396	2.21001	8.18018
ENST00000287727.8	8.43594	11.15318	7.88754	5.99536	9.61936
ENST00000287766.10	1.47954	3.03018	2.17482	1.58727	0.6791
ENST00000287771.9	0	0.5047	0	0	1.3703
ENST00000288466.11	10.33021	8.35883	4.38076	8.12339	23.81009
ENST00000288607.3	26.48234	24.47158	27.37399	27.73727	29.49295
ENST00000289104.8	0.62787	0.24642	0.41006	0.90306	0.41878
ENST00000289119.7	6.15215	5.16953	6.77908	6.91347	7.28186
ENST00000289316.2	5.65227	4.4019	7.53568	9.67507	4.26362
ENST00000289577.9	3.49252	2.47699	1.51602	1.84016	1.18194
ENST00000289788.5	9.58702	2.80765	6.73375	10.13286	12.0346
ENST00000290178.4	0.88915	1.02345	1.11996	1.40267	1.14919
ENST00000290246.11	11.24662	15.69333	6.74789	5.62366	9.18128
ENST00000290317.9	0	0	0	0	1.83734
ENST00000290390.9	0.79106	0	0	0	0
ENST00000290510.10	2.34178	5.5079	3.79172	1.50992	6.6419
